tweetID,crisisname,period,relatedness_annotation,urgency_annotation,intention_annotation
1054105309516611584,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 735534409110171648,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 444203228138582016,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054227489223069696,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 429179238571200512,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1054357826297085952,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 535090172795179008,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054383327715774464,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054461724525506560,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1054299961590976512,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 738749366618460160,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 664538928687525888,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1051936710261649408,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1054266549761122304,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1054604196262096896,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054576858724003840,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 478915753396420608,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 326646414702686208,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 709011684510273536,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1051851725794029568,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 939888515952861184,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 361163512459960320,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054403271983456256,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
  66193871561953280,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 128520284742500352,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 489168339248635904,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 240411146652381184,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1053999519485042688,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 955122796484587520,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,Critiques
1054300341829799936,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 133861745251983360,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 455065592241061888,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 266747756033499136,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054458802567811072,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054436109617426432,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Humains
 892805053504905216,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 738442208840450048,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 959549461772079104,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1052131024715563008,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Humains
1054302117727559680,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1051864343942447104,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
 429170647831687168,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 956513232512053248,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054299120016482304,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 660800997376335872,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 832618644395880448,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1050735195857592320,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1052118321246728192,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1049036506130780160,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054296813753298944,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 737267080261689344,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1050895328646496256,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1051222063002849280,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054297907657097216,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054251223845617664,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1049690807693967360,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 427004226385244160,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1024001646429458432,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 480000694184054784,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1051787139309101056,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054398437851054080,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054120189829267456,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054434050235097088,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1048282786216468480,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1052090497739698176,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1053999156161925120,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 521030739333509120,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 738433130130968576,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
 649244526335365120,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 972395909685358592,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054126089285591040,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 498196134192746496,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 520482463358128128,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1051429188182401024,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1051717567633653760,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 669556591620935680,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1054398702842986496,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 650311928242401280,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 533207231383097344,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 592317172862611456,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1054051793649442816,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 417232769513947136,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 432767755779977216,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054384763174248448,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054375782850674688,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 642332846376513536,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054313797559746560,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 961141717452906496,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 741709377703411712,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054061755825979392,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 511899244240723968,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1052100682566787072,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
 737641674621497344,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054039354367205376,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 738387799737532416,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054311717264478208,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054354048391045120,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 738075441731272704,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054116675501600768,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054298845138554880,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 739389619079368704,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 230559712662409216,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 516691831086911488,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
 555097468208447488,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1053224128898125824,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1054390643127148544,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1054211723291475968,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 941630877347602432,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 703642705394585600,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 662647977241124864,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 919879434865344512,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054483857553178624,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 943750636243509248,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054113713358340096,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 336600611770482688,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054257292290355200,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 389313250158198784,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 634326852312690688,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 824741600307863552,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 322989303808544768,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054278615276445696,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 952813547922362368,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 120112857454100480,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054456518240882688,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1053991022613749760,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 295243167421304832,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 990900986423185408,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1051044694246023168,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
         8497525566,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1053594464533598208,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
 296034990989393920,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054388834937593856,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1051030089759113216,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054425694602756096,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1053986568099237888,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054614249224486912,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054237690625957888,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 974199617716965376,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 635469730971811840,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 260057820865650688,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 261140117010411520,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054053606591287296,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1051149810965852160,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1050465354420576256,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 497465997474160640,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 845050077299269632,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1049331495507255296,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 536598415161823232,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 223797702956290048,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054117164851048448,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 194021596564959232,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 790291418199842816,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054543194514288640,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054274884577173504,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 942617565255405568,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,Critiques
 952945407038033920,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 434349149043965952,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
 240834521052884992,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054056523943591936,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054032526568677376,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 810879601375383552,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 516616284382187520,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 490615705264721920,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 647325108789465088,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 787390461979787264,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054458575773487104,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 757875096782528512,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 737148240802549760,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1051794630126260224,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054296586258432000,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
 516865084526952448,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 389048585146224640,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 481040944238972928,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 321632236988416000,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 823835606266609664,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 790149258544553984,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054037669116854272,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054360606386610176,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054387531675000832,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1052117336768073728,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1054064033559543808,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054225854547382272,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 738122619845758976,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054285139881181184,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 737668249756794880,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054256934537347072,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 476240593484779520,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1054037632647421952,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 172650244700504064,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 804040715500224512,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 311660783262117888,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 528299249659035648,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 166248053806874624,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1054447322233536512,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1051716413071745024,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 840272221738266624,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 632891566600912896,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 994890838550417408,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1052142327903514624,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Critiques
 669900887607898112,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 211660667328016384,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054233440491581440,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 433998051984683008,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1053991582884605952,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054457573313777664,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1051807291316600832,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1051829366399877120,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1051554463205519360,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 805075897283997696,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1054461257619853312,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 801706221803806720,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 752214405920788480,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Humains
 739096801316343808,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 560824800814596096,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 521050969325711360,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 286605020630220800,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054221120319221760,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1051863003711397888,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1050439065471016960,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1025071715880185856,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054065991465005056,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 423371863558217728,Autre,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1051803447950012416,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 521051684387450880,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1051753378550898688,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 928764267565809664,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054546399541559296,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 914859675140665344,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 629570973356957696,Autre,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
 434616212014628864,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 677072447544401920,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1050442009046077440,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054402712832491520,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054404182801813504,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054603890337943552,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054298194123853824,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054327406067150848,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 208253786442047488,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 162076523279552512,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054415993232076800,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
 836112619052359680,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054357126318034944,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054254430575566848,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 915071414201327616,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1051589262544637952,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054074236174778368,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
 984806032256925696,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,AutresMessages
1054297817169182720,Aude,NA,Message-Utilisable,Message-InfoUrgent,Degats-Materiels
1051713613696835584,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1051870467194277888,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054057617557987328,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1051919516907827200,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1051403487953580032,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1054610351529046016,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1049881840515997696,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054369073868521472,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 204987362730713088,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 956556657408069632,Autre,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1054329768798310400,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054622280007999488,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1054290189315641344,Aude,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 286394888243793920,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 539026809044885504,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
1052959748193218560,Aude,NA,Message-Utilisable,Message-InfoNonUrgent,Soutiens
1050551841572950016,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
1049634486026231808,Aude,NA,Message-Utilisable,Message-InfoUrgent,Avertissement-conseil
        23918795174,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
 334704717349408768,Autre,NA,Message-NonUtilisable,Message-NonUtilisable,Message-NonUtilisable
